Index,Item ID,Title,Layer,Class,Status,WIP,Assignee,Tested,Prerequisites,Code Location,Notes
1,UC-001,CheckLoginUseCase,use-case,,Not started,,inamonanymous,Not Tested,,`app\use_cases\check_login.py`,
2,UC-002,CreateDebtPaymentUseCase,use-case,,Not started,,inamonanymous,Not Tested,,`app\use_cases\create_debt_payment.py`,
3,F-001,Authentication & User management,feature,,Done,,inamonanymous,Not Tested,,,Add unit + integration tests for registration/login flows
4,F-002,Dashboard & Reporting,feature,,Done,,inamonanymous,Not Tested,,,Consider performance tests / caching
5,F-003,Income management (CRUD),feature,,Done,,inamonanymous,Not Tested,,,Add input validation tests
6,F-004,Expense management (CRUD),feature,,Done,,inamonanymous,Not Tested,,,Add pagination and edge-case tests
7,F-005,Debt handling & payments,feature,,Done,,inamonanymous,Not Tested,,,Ensure category creation edge-cases handled
8,F-006,Categories & lookup,feature,,Done,,inamonanymous,Not Tested,,,Ensure category ownership is enforced
9,F-007,Saving goals & transactions,feature,,Work in Progress,Yes,inamonanymous,Not Tested,,,Add missing use-cases if any
10,R-001,app/routes/r_users.py,route,,Done,,inamonanymous,Not Tested,,app/routes/r_users.py,"Auth, dashboard, debt payment"
11,R-002,app/routes/r_expense.py,route,,Done,,inamonanymous,Not Tested,,app/routes/r_expense.py,Expense page + modal categories
12,R-003,app/routes/r_income.py,route,,Done,,inamonanymous,Not Tested,,app/routes/r_income.py,Income page + modal categories
13,R-004,app/routes/functions.py,route,,Done,,inamonanymous,Not Tested,,app/routes/functions.py,"Route helpers (session, current user)"
14,DE-001,app/domain/entities/user.py,entity,User,Done,,inamonanymous,Not Tested,,app/domain/entities/user.py,Domain entity for users
15,DE-002,app/domain/entities/category.py,entity,Category,Done,,inamonanymous,Not Tested,,app/domain/entities/category.py,Income/expense categories
16,DE-003,app/domain/entities/expense.py,entity,Expense,Done,,inamonanymous,Not Tested,,app/domain/entities/expense.py,Expense domain entity
17,DE-004,app/domain/entities/income.py,entity,Income,Done,,inamonanymous,Not Tested,,app/domain/entities/income.py,Income domain entity
18,DE-005,app/domain/entities/debt.py,entity,Debt,Done,,inamonanymous,Not Tested,,app/domain/entities/debt.py,Debt domain entity
19,DE-006,app/domain/entities/saving_goal.py,entity,Saving goal,Done,,inamonanymous,Not Tested,,app/domain/entities/saving_goal.py,Saving goal domain entity
20,M-001,app/model/m_Users.py,model,Users,Done,,inamonanymous,Not Tested,,app/model/m_Users.py,ORM users table
21,M-002,app/model/m_Categories.py,model,Categories,Done,,inamonanymous,Not Tested,,app/model/m_Categories.py,ORM categories table
22,M-003,app/model/m_Expenses.py,model,Expenses,Done,,inamonanymous,Not Tested,,app/model/m_Expenses.py,ORM expenses table
23,M-004,app/model/m_Income.py,model,Income,Done,,inamonanymous,Not Tested,,app/model/m_Income.py,ORM income table
24,M-005,app/model/m_Debts.py,model,Debts,Done,,inamonanymous,Not Tested,,app/model/m_Debts.py,ORM debts table
